,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeTeamcat,AwayTeamcat,FTRcat,MatchYear
0,E0,1993-08-14,Arsenal,Coventry,0,3,A,0,12,0,1993
1,E0,1993-08-14,AstonVilla,QPR,4,1,H,1,30,2,1993
2,E0,1993-08-14,Chelsea,Blackburn,1,2,A,11,4,0,1993
3,E0,1993-08-14,Liverpool,SheffieldWeds,2,0,H,21,33,2,1993
4,E0,1993-08-14,ManCity,Leeds,1,1,D,22,19,1,1993
5,E0,1993-08-14,Newcastle,Tottenham,0,1,A,25,39,0,1993
6,E0,1993-08-14,Oldham,Ipswich,0,3,A,28,18,0,1993
7,E0,1993-08-14,SheffieldUnited,Swindon,3,1,H,32,38,2,1993
8,E0,1993-08-14,Southampton,Everton,0,2,A,34,15,0,1993
9,E0,1993-08-14,WestHam,Wimbledon,0,2,A,42,44,0,1993
10,E0,1993-08-15,Norwich,ManUnited,0,2,A,26,23,0,1993
11,E0,1993-08-16,Tottenham,Arsenal,0,1,A,39,0,0,1993
12,E0,1993-08-17,Everton,ManCity,1,0,H,15,22,2,1993
13,E0,1993-08-17,Ipswich,Southampton,1,0,H,18,34,2,1993
14,E0,1993-08-17,Leeds,WestHam,1,0,H,19,42,2,1993
15,E0,1993-08-17,Wimbledon,Chelsea,1,1,D,44,11,1,1993
16,E0,1993-08-18,Blackburn,Norwich,2,3,A,4,26,0,1993
17,E0,1993-08-18,Coventry,Newcastle,2,1,H,12,25,2,1993
18,E0,1993-08-18,ManUnited,SheffieldUnited,3,0,H,23,32,2,1993
19,E0,1993-08-18,QPR,Liverpool,1,3,A,30,21,0,1993
20,E0,1993-08-18,SheffieldWeds,AstonVilla,0,0,D,33,1,1,1993
21,E0,1993-08-18,Swindon,Oldham,0,1,A,38,28,0,1993
22,E0,1993-08-21,Blackburn,Oldham,1,0,H,4,28,2,1993
23,E0,1993-08-21,Coventry,WestHam,1,1,D,12,42,1,1993
24,E0,1993-08-21,Everton,SheffieldUnited,4,2,H,15,32,2,1993
25,E0,1993-08-21,Ipswich,Chelsea,1,0,H,18,11,2,1993
26,E0,1993-08-21,Leeds,Norwich,0,4,A,19,26,0,1993
27,E0,1993-08-21,ManUnited,Newcastle,1,1,D,23,25,1,1993
28,E0,1993-08-21,QPR,Southampton,2,1,H,30,34,2,1993
29,E0,1993-08-21,SheffieldWeds,Arsenal,0,1,A,33,0,0,1993
30,E0,1993-08-21,Tottenham,ManCity,1,0,H,39,22,2,1993
31,E0,1993-08-21,Wimbledon,AstonVilla,2,2,D,44,1,1,1993
32,E0,1993-08-22,Swindon,Liverpool,0,5,A,38,21,0,1993
33,E0,1993-08-23,AstonVilla,ManUnited,1,2,A,1,23,0,1993
34,E0,1993-08-24,Arsenal,Leeds,2,1,H,0,19,2,1993
35,E0,1993-08-24,ManCity,Blackburn,0,2,A,22,4,0,1993
36,E0,1993-08-24,Oldham,Coventry,3,3,D,28,12,1,1993
37,E0,1993-08-24,SheffieldUnited,Wimbledon,2,1,H,32,44,2,1993
38,E0,1993-08-25,Chelsea,QPR,2,0,H,11,30,2,1993
39,E0,1993-08-25,Liverpool,Tottenham,1,2,A,21,39,0,1993
40,E0,1993-08-25,Newcastle,Everton,1,0,H,25,15,2,1993
41,E0,1993-08-25,Norwich,Ipswich,1,0,H,26,18,2,1993
42,E0,1993-08-25,Southampton,Swindon,5,1,H,34,38,2,1993
43,E0,1993-08-25,WestHam,SheffieldWeds,2,0,H,42,33,2,1993
44,E0,1993-08-27,ManCity,Coventry,1,1,D,22,12,1,1993
45,E0,1993-08-28,Arsenal,Everton,2,0,H,0,15,2,1993
46,E0,1993-08-28,AstonVilla,Tottenham,1,0,H,1,39,2,1993
47,E0,1993-08-28,Chelsea,SheffieldWeds,1,1,D,11,33,1,1993
48,E0,1993-08-28,Liverpool,Leeds,2,0,H,21,19,2,1993
49,E0,1993-08-28,Norwich,Swindon,0,0,D,26,38,1,1993
50,E0,1993-08-28,Oldham,Wimbledon,1,1,D,28,44,1,1993
51,E0,1993-08-28,SheffieldUnited,Ipswich,1,1,D,32,18,1,1993
52,E0,1993-08-28,Southampton,ManUnited,1,3,A,34,23,0,1993
53,E0,1993-08-28,WestHam,QPR,0,4,A,42,30,0,1993
54,E0,1993-08-29,Newcastle,Blackburn,1,1,D,25,4,1,1993
55,E0,1993-08-30,Leeds,Oldham,1,0,H,19,28,2,1993
56,E0,1993-08-31,Everton,AstonVilla,0,1,A,15,1,0,1993
57,E0,1993-08-31,Ipswich,Newcastle,1,1,D,18,25,1,1993
58,E0,1993-08-31,Wimbledon,Southampton,1,0,H,44,34,2,1993
59,E0,1993-01-09,Blackburn,Arsenal,1,1,D,4,0,1,1993
60,E0,1993-01-09,Coventry,Liverpool,1,0,H,12,21,2,1993
61,E0,1993-01-09,ManUnited,WestHam,3,0,H,23,42,2,1993
62,E0,1993-01-09,QPR,SheffieldUnited,2,1,H,30,32,2,1993
63,E0,1993-01-09,SheffieldWeds,Norwich,3,3,D,33,26,1,1993
64,E0,1993-01-09,Swindon,ManCity,1,3,A,38,22,0,1993
65,E0,1993-01-09,Tottenham,Chelsea,1,1,D,39,11,1,1993
66,E0,1993-11-09,Arsenal,Ipswich,4,0,H,0,18,2,1993
67,E0,1993-11-09,AstonVilla,Coventry,0,0,D,1,12,1,1993
68,E0,1993-11-09,Chelsea,ManUnited,1,0,H,11,23,2,1993
69,E0,1993-11-09,ManCity,QPR,3,0,H,22,30,2,1993
70,E0,1993-11-09,Norwich,Wimbledon,0,1,A,26,44,0,1993
71,E0,1993-11-09,Oldham,Everton,0,1,A,28,15,0,1993
72,E0,1993-11-09,SheffieldUnited,Tottenham,2,2,D,32,39,1,1993
73,E0,1993-11-09,Southampton,Leeds,0,2,A,34,19,0,1993
74,E0,1993-11-09,WestHam,Swindon,0,0,D,42,38,1,1993
75,E0,1993-12-09,Liverpool,Blackburn,0,1,A,21,4,0,1993
76,E0,1993-09-13,Newcastle,SheffieldWeds,4,2,H,25,33,2,1993
77,E0,1993-09-18,Blackburn,WestHam,0,2,A,4,42,0,1993
78,E0,1993-09-18,Coventry,Chelsea,1,1,D,12,11,1,1993
79,E0,1993-09-18,Everton,Liverpool,2,0,H,15,21,2,1993
80,E0,1993-09-18,Ipswich,AstonVilla,1,2,A,18,1,0,1993
81,E0,1993-09-18,Leeds,SheffieldUnited,2,1,H,19,32,2,1993
82,E0,1993-09-18,QPR,Norwich,2,2,D,30,26,1,1993
83,E0,1993-09-18,SheffieldWeds,Southampton,2,0,H,33,34,2,1993
84,E0,1993-09-18,Swindon,Newcastle,2,2,D,38,25,1,1993
85,E0,1993-09-18,Tottenham,Oldham,5,0,H,39,28,2,1993
86,E0,1993-09-19,ManUnited,Arsenal,1,0,H,23,0,2,1993
87,E0,1993-09-20,Wimbledon,ManCity,1,0,H,44,22,2,1993
88,E0,1993-09-25,Arsenal,Southampton,1,0,H,0,34,2,1993
89,E0,1993-09-25,Blackburn,SheffieldWeds,1,1,D,4,33,1,1993
90,E0,1993-09-25,Chelsea,Liverpool,1,0,H,11,21,2,1993
91,E0,1993-09-25,Coventry,Leeds,0,2,A,12,19,0,1993
92,E0,1993-09-25,Everton,Norwich,1,5,A,15,26,0,1993
93,E0,1993-09-25,ManUnited,Swindon,4,2,H,23,38,2,1993
94,E0,1993-09-25,Newcastle,WestHam,2,0,H,25,42,2,1993
95,E0,1993-09-25,Oldham,AstonVilla,1,1,D,28,1,1,1993
96,E0,1993-09-25,SheffieldUnited,ManCity,0,1,A,32,22,0,1993
97,E0,1993-09-26,Ipswich,Tottenham,2,2,D,18,39,1,1993
98,E0,1993-09-27,Wimbledon,QPR,1,1,D,44,30,1,1993
99,E0,1993-02-10,AstonVilla,Newcastle,0,2,A,1,25,0,1993
100,E0,1993-02-10,Leeds,Wimbledon,4,0,H,19,44,2,1993
101,E0,1993-02-10,Liverpool,Arsenal,0,0,D,21,0,1,1993
102,E0,1993-02-10,Norwich,Coventry,1,0,H,26,12,2,1993
103,E0,1993-02-10,QPR,Ipswich,3,0,H,30,18,2,1993
104,E0,1993-02-10,SheffieldWeds,ManUnited,2,3,A,33,23,0,1993
105,E0,1993-02-10,Southampton,SheffieldUnited,3,3,D,34,32,1,1993
106,E0,1993-02-10,Swindon,Blackburn,1,3,A,38,4,0,1993
107,E0,1993-02-10,WestHam,Chelsea,1,0,H,42,11,2,1993
108,E0,1993-03-10,Tottenham,Everton,3,2,H,39,15,2,1993
109,E0,1993-04-10,ManCity,Oldham,1,1,D,22,28,1,1993
110,E0,1993-10-16,Arsenal,ManCity,0,0,D,0,22,1,1993
111,E0,1993-10-16,Chelsea,Norwich,1,2,A,11,26,0,1993
112,E0,1993-10-16,Coventry,Southampton,1,1,D,12,34,1,1993
113,E0,1993-10-16,Liverpool,Oldham,2,1,H,21,28,2,1993
114,E0,1993-10-16,ManUnited,Tottenham,2,1,H,23,39,2,1993
115,E0,1993-10-16,Newcastle,QPR,1,2,A,25,30,0,1993
116,E0,1993-10-16,SheffieldWeds,Wimbledon,2,2,D,33,44,1,1993
117,E0,1993-10-16,Swindon,Everton,1,1,D,38,15,1,1993
118,E0,1993-10-16,WestHam,AstonVilla,0,0,D,42,1,1,1993
119,E0,1993-10-17,Ipswich,Leeds,0,0,D,18,19,1,1993
120,E0,1993-10-18,Blackburn,SheffieldUnited,0,0,D,4,32,1,1993
121,E0,1993-10-23,AstonVilla,Chelsea,1,0,H,1,11,2,1993
122,E0,1993-10-23,Everton,ManUnited,0,1,A,15,23,0,1993
123,E0,1993-10-23,Leeds,Blackburn,3,3,D,19,4,1,1993
124,E0,1993-10-23,ManCity,Liverpool,1,1,D,22,21,1,1993
125,E0,1993-10-23,Norwich,WestHam,0,0,D,26,42,1,1993
126,E0,1993-10-23,Oldham,Arsenal,0,0,D,28,0,1,1993
127,E0,1993-10-23,QPR,Coventry,5,1,H,30,12,2,1993
128,E0,1993-10-23,SheffieldUnited,SheffieldWeds,1,1,D,32,33,1,1993
