HomeTeam,AwayTeam,FTR
Arsenal,Coventry,A
'Aston Villa',QPR,H
Chelsea,Blackburn,A
Liverpool,'Sheffield Weds',H
'Man City',Leeds,D
Newcastle,Tottenham,A
Oldham,Ipswich,A
'Sheffield United',Swindon,H
Southampton,Everton,A
'West Ham',Wimbledon,A
Norwich,'Man United',A
Tottenham,Arsenal,A
Everton,'Man City',H
Ipswich,Southampton,H
Leeds,'West Ham',H
Wimbledon,Chelsea,D
Blackburn,Norwich,A
Coventry,Newcastle,H
'Man United','Sheffield United',H
QPR,Liverpool,A
'Sheffield Weds','Aston Villa',D
Swindon,Oldham,A
Blackburn,Oldham,H
Coventry,'West Ham',D
Everton,'Sheffield United',H
Ipswich,Chelsea,H
Leeds,Norwich,A
'Man United',Newcastle,D
QPR,Southampton,H
'Sheffield Weds',Arsenal,A
Tottenham,'Man City',H
Wimbledon,'Aston Villa',D
Swindon,Liverpool,A
'Aston Villa','Man United',A
Arsenal,Leeds,H
'Man City',Blackburn,A
Oldham,Coventry,D
'Sheffield United',Wimbledon,H
Chelsea,QPR,H
Liverpool,Tottenham,A
Newcastle,Everton,H
Norwich,Ipswich,H
Southampton,Swindon,H
'West Ham','Sheffield Weds',H
'Man City',Coventry,D
Arsenal,Everton,H
'Aston Villa',Tottenham,H
Chelsea,'Sheffield Weds',D
Liverpool,Leeds,H
Norwich,Swindon,D
Oldham,Wimbledon,D
'Sheffield United',Ipswich,D
Southampton,'Man United',A
'West Ham',QPR,A
Newcastle,Blackburn,D
Leeds,Oldham,H
Everton,'Aston Villa',A
Ipswich,Newcastle,D
Wimbledon,Southampton,H
Blackburn,Arsenal,D
Coventry,Liverpool,H
'Man United','West Ham',H
QPR,'Sheffield United',H
'Sheffield Weds',Norwich,D
Swindon,'Man City',A
Tottenham,Chelsea,D
Arsenal,Ipswich,H
'Aston Villa',Coventry,D
Chelsea,'Man United',H
'Man City',QPR,H
Norwich,Wimbledon,A
Oldham,Everton,A
'Sheffield United',Tottenham,D
Southampton,Leeds,A
