,Date,HomeTeam,AwayTeam,FTR,HomeTeamcat,AwayTeamcat,FTRcat,MatchYear
0,2000-08-19,Charlton,ManCity,H,12,25,2,2000
1,2000-08-19,Chelsea,WestHam,H,13,46,2,2000
2,2000-08-19,Coventry,Middlesbrough,A,14,28,0,2000
3,2000-08-19,Derby,Southampton,D,16,38,1,2000
4,2000-08-19,Leeds,Everton,H,22,17,2,2000
5,2000-08-19,Leicester,AstonVilla,D,23,1,1,2000
6,2000-08-19,Liverpool,Bradford,H,24,8,2,2000
7,2000-08-19,Sunderland,Arsenal,H,40,0,2,2000
8,2000-08-19,Tottenham,Ipswich,H,43,21,2,2000
9,2000-08-20,ManUnited,Newcastle,H,26,29,2,2000
10,2000-08-21,Arsenal,Liverpool,H,0,24,2,2000
11,2000-08-22,Bradford,Chelsea,H,8,13,2,2000
12,2000-08-22,Ipswich,ManUnited,D,21,26,1,2000
13,2000-08-22,Middlesbrough,Tottenham,D,28,43,1,2000
14,2000-08-23,Everton,Charlton,H,17,12,2,2000
15,2000-08-23,ManCity,Sunderland,H,25,40,2,2000
16,2000-08-23,Newcastle,Derby,H,29,16,2,2000
17,2000-08-23,Southampton,Coventry,A,38,14,0,2000
18,2000-08-23,WestHam,Leicester,A,46,23,0,2000
19,2000-08-26,Arsenal,Charlton,H,0,12,2,2000
20,2000-08-26,Bradford,Leicester,D,8,23,1,2000
21,2000-08-26,Everton,Derby,D,17,16,1,2000
22,2000-08-26,Ipswich,Sunderland,H,21,40,2,2000
23,2000-08-26,ManCity,Coventry,A,25,14,0,2000
24,2000-08-26,Middlesbrough,Leeds,A,28,22,0,2000
25,2000-08-26,Newcastle,Tottenham,H,29,43,2,2000
26,2000-08-26,Southampton,Liverpool,D,38,24,1,2000
27,2000-08-26,WestHam,ManUnited,D,46,26,1,2000
28,2000-08-27,AstonVilla,Chelsea,D,1,13,1,2000
29,2000-05-09,Leeds,ManCity,A,22,25,0,2000
30,2000-05-09,ManUnited,Bradford,H,26,8,2,2000
31,2000-05-09,Sunderland,WestHam,D,40,46,1,2000
32,2000-05-09,Tottenham,Everton,H,43,17,2,2000
33,2000-06-09,Charlton,Southampton,D,12,38,1,2000
34,2000-06-09,Chelsea,Arsenal,D,13,0,1,2000
35,2000-06-09,Coventry,Newcastle,A,14,29,0,2000
36,2000-06-09,Derby,Middlesbrough,D,16,28,1,2000
37,2000-06-09,Leicester,Ipswich,H,23,21,2,2000
38,2000-06-09,Liverpool,AstonVilla,H,24,1,2,2000
39,2000-09-09,Bradford,Arsenal,D,8,0,1,2000
40,2000-09-09,Coventry,Leeds,D,14,22,1,2000
41,2000-09-09,Ipswich,AstonVilla,A,21,1,0,2000
42,2000-09-09,Leicester,Southampton,H,23,38,2,2000
43,2000-09-09,Liverpool,ManCity,H,24,25,2,2000
44,2000-09-09,ManUnited,Sunderland,H,26,40,2,2000
45,2000-09-09,Middlesbrough,Everton,A,28,17,0,2000
46,2000-09-09,Newcastle,Chelsea,D,29,13,1,2000
47,2000-10-09,Derby,Charlton,D,16,12,1,2000
48,2000-11-09,Tottenham,WestHam,H,43,46,2,2000
49,2000-09-16,Arsenal,Coventry,H,0,14,2,2000
50,2000-09-16,AstonVilla,Bradford,H,1,8,2,2000
51,2000-09-16,Charlton,Tottenham,H,12,43,2,2000
52,2000-09-16,Everton,ManUnited,A,17,26,0,2000
53,2000-09-16,Leeds,Ipswich,A,22,21,0,2000
54,2000-09-16,Southampton,Newcastle,H,38,29,2,2000
55,2000-09-16,Sunderland,Derby,H,40,16,2,2000
56,2000-09-17,Chelsea,Leicester,A,13,23,0,2000
57,2000-09-17,ManCity,Middlesbrough,D,25,28,1,2000
58,2000-09-17,WestHam,Liverpool,D,46,24,1,2000
59,2000-09-23,Bradford,Southampton,A,8,38,0,2000
60,2000-09-23,Coventry,WestHam,A,14,46,0,2000
61,2000-09-23,Derby,Leeds,D,16,22,1,2000
62,2000-09-23,Ipswich,Arsenal,D,21,0,1,2000
63,2000-09-23,Liverpool,Sunderland,D,24,40,1,2000
64,2000-09-23,ManUnited,Chelsea,D,26,13,1,2000
65,2000-09-23,Middlesbrough,AstonVilla,D,28,1,1,2000
66,2000-09-23,Newcastle,Charlton,A,29,12,0,2000
67,2000-09-23,Tottenham,ManCity,D,43,25,1,2000
68,2000-09-24,Leicester,Everton,D,23,17,1,2000
69,2000-09-30,AstonVilla,Derby,H,1,16,2,2000
70,2000-09-30,Charlton,Coventry,D,12,14,1,2000
71,2000-09-30,Everton,Ipswich,A,17,21,0,2000
72,2000-09-30,Leeds,Tottenham,H,22,43,2,2000
73,2000-09-30,ManCity,Newcastle,A,25,29,0,2000
74,2000-09-30,Southampton,Middlesbrough,A,38,28,0,2000
75,2000-09-30,WestHam,Bradford,D,46,8,1,2000
76,2000-01-10,Arsenal,ManUnited,H,0,26,2,2000
77,2000-01-10,Chelsea,Liverpool,H,13,24,2,2000
78,2000-01-10,Sunderland,Leicester,D,40,23,1,2000
79,2000-10-14,Arsenal,AstonVilla,H,0,1,2,2000
80,2000-10-14,Coventry,Tottenham,H,14,43,2,2000
81,2000-10-14,Everton,Southampton,D,17,38,1,2000
82,2000-10-14,Ipswich,WestHam,D,21,46,1,2000
83,2000-10-14,Leeds,Charlton,H,22,12,2,2000
84,2000-10-14,Leicester,ManUnited,A,23,26,0,2000
85,2000-10-14,ManCity,Bradford,H,25,8,2,2000
86,2000-10-14,Sunderland,Chelsea,H,40,13,2,2000
87,2000-10-15,Derby,Liverpool,A,16,24,0,2000
88,2000-10-16,Middlesbrough,Newcastle,A,28,29,0,2000
89,2000-10-21,Bradford,Ipswich,A,8,21,0,2000
90,2000-10-21,Charlton,Middlesbrough,H,12,28,2,2000
91,2000-10-21,Chelsea,Coventry,H,13,14,2,2000
92,2000-10-21,Liverpool,Leicester,H,24,23,2,2000
93,2000-10-21,ManUnited,Leeds,H,26,22,2,2000
94,2000-10-21,Newcastle,Everton,A,29,17,0,2000
95,2000-10-21,Tottenham,Derby,H,43,16,2,2000
96,2000-10-21,WestHam,Arsenal,A,46,0,0,2000
97,2000-10-22,AstonVilla,Sunderland,D,1,40,1,2000
98,2000-10-23,Southampton,ManCity,A,38,25,0,2000
99,2000-10-28,Arsenal,ManCity,H,0,25,2,2000
